@relation BlackBoxAuditing
@attribute checking_status {0<=X<200,<0,>=200,"no checking"}
@attribute duration numeric
@attribute credit_history {"all paid","existing paid","critical/other existing credit","no credits/all paid","delayed previously"}
@attribute purpose {repairs,other,radio/tv,business,furniture/equipment,retraining,education,"new car","domestic appliance","used car"}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,"no known savings",>=1000,100<=X<500}
@attribute employment {unemployed,4<=X<7,1<=X<4,<1,>=7}
@attribute installment_commitment numeric
@attribute personal_status {"male mar/wid","female div/dep/mar","male single","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"no known property","life insurance",car,"real estate"}
@attribute age_cat {young,old}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unemp/unskilled non res","unskilled resident"}
@attribute num_dependents numeric
@attribute own_telephone {yes,none}
@attribute foreign_worker {no,yes}
@attribute class {bad,good}

@data
"no checking",21,"no credits/all paid","new car",5003,"no known savings",1<=X<4,1,"female div/dep/mar",none,4,"life insurance",old,bank,own,2,skilled,1,yes,yes,bad
<0,24,"all paid",furniture/equipment,3552,<100,4<=X<7,3,"male single",none,4,car,old,bank,own,1,skilled,1,none,yes,bad
0<=X<200,18,"critical/other existing credit",furniture/equipment,1928,<100,<1,2,"male single",none,2,"real estate",old,none,own,2,"unskilled resident",1,none,yes,bad
<0,24,"all paid",radio/tv,1546,<100,4<=X<7,4,"male single",guarantor,4,car,young,bank,rent,1,"unskilled resident",1,none,yes,bad
0<=X<200,24,"delayed previously",business,4712,"no known savings",1<=X<4,4,"male single",none,2,"life insurance",old,bank,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,24,"delayed previously",radio/tv,1553,100<=X<500,4<=X<7,3,"female div/dep/mar",none,2,"life insurance",young,none,rent,2,skilled,1,yes,yes,good
"no checking",24,"critical/other existing credit",radio/tv,2578,>=1000,>=7,2,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,48,"existing paid",radio/tv,3979,"no known savings",4<=X<7,4,"male single",none,1,car,old,none,own,2,skilled,2,yes,yes,good
<0,24,"existing paid",furniture/equipment,3234,<100,<1,4,"female div/dep/mar",none,4,"real estate",young,none,rent,1,"unskilled resident",1,yes,yes,bad
"no checking",24,"existing paid","used car",5433,"no known savings",unemployed,2,"female div/dep/mar",none,4,"life insurance",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,9,"existing paid",radio/tv,1082,<100,>=7,4,"male single",none,4,car,old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",15,"critical/other existing credit",furniture/equipment,2788,<100,4<=X<7,2,"female div/dep/mar","co applicant",3,car,young,bank,own,2,skilled,1,none,yes,good
0<=X<200,12,"existing paid",radio/tv,2930,<100,4<=X<7,2,"female div/dep/mar",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",24,"existing paid",retraining,937,<100,<1,4,"male mar/wid",none,3,car,old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,12,"critical/other existing credit","new car",3124,<100,<1,1,"male single",none,3,"real estate",old,bank,own,2,"unskilled resident",2,none,yes,good
0<=X<200,36,"existing paid",repairs,2384,<100,<1,4,"male single",none,1,"no known property",old,none,rent,1,"unskilled resident",1,none,yes,bad
"no checking",12,"existing paid","new car",2133,"no known savings",>=7,4,"female div/dep/mar",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,18,"existing paid",furniture/equipment,2039,<100,1<=X<4,1,"female div/dep/mar",none,4,"real estate",young,bank,rent,1,skilled,1,none,yes,bad
<0,9,"critical/other existing credit","new car",2799,<100,1<=X<4,2,"male single",none,2,"real estate",old,none,rent,2,skilled,2,none,yes,good
<0,12,"existing paid",furniture/equipment,1289,<100,1<=X<4,4,"male single",guarantor,1,"life insurance",young,none,own,1,"unskilled resident",1,none,yes,good
<0,18,"existing paid","domestic appliance",1217,<100,1<=X<4,4,"male mar/wid",none,3,"real estate",old,none,own,1,"unskilled resident",1,yes,yes,bad
<0,12,"critical/other existing credit",furniture/equipment,2246,<100,>=7,3,"male single",none,3,"life insurance",old,none,own,2,skilled,1,none,yes,bad
<0,12,"critical/other existing credit",radio/tv,385,<100,4<=X<7,4,"female div/dep/mar",none,3,"real estate",old,none,own,4,"unskilled resident",1,yes,yes,good
0<=X<200,24,"delayed previously","new car",1965,"no known savings",1<=X<4,4,"female div/dep/mar",none,4,car,old,none,rent,2,skilled,1,yes,yes,good
"no checking",21,"existing paid",business,1572,>=1000,>=7,4,"female div/dep/mar",none,4,"real estate",old,bank,own,1,"unskilled resident",1,none,yes,good
<0,24,"all paid",other,1358,"no known savings",>=7,4,"male single",none,3,car,old,stores,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
0<=X<200,6,"all paid","new car",931,100<=X<500,<1,1,"female div/dep/mar",none,1,"life insurance",old,stores,own,1,"unskilled resident",1,none,yes,bad
<0,24,"existing paid","new car",1442,<100,4<=X<7,4,"female div/dep/mar",none,4,car,young,none,rent,2,skilled,1,none,yes,bad
"no checking",24,"delayed previously",business,3863,<100,1<=X<4,1,"male single",none,2,"no known property",old,none,"for free",1,skilled,1,none,yes,good
0<=X<200,7,"existing paid",radio/tv,2329,<100,<1,1,"female div/dep/mar",guarantor,1,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,9,"existing paid",furniture/equipment,918,<100,1<=X<4,4,"female div/dep/mar",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,bad
0<=X<200,24,"all paid",education,1837,<100,4<=X<7,4,"female div/dep/mar",none,4,"no known property",old,bank,"for free",1,"unskilled resident",1,none,yes,bad
"no checking",36,"existing paid",furniture/equipment,3349,<100,1<=X<4,4,"female div/dep/mar",none,2,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
0<=X<200,36,"existing paid",radio/tv,2671,100<=X<500,1<=X<4,4,"female div/dep/mar","co applicant",4,"no known property",old,none,"for free",1,skilled,1,none,yes,bad
"no checking",18,"existing paid",radio/tv,2051,<100,<1,4,"male single",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,12,"existing paid","domestic appliance",741,100<=X<500,unemployed,4,"female div/dep/mar",none,3,"life insurance",young,none,own,1,skilled,1,none,yes,bad
>=200,10,"existing paid","new car",1240,100<=X<500,>=7,1,"female div/dep/mar",none,4,"no known property",old,none,"for free",1,"unskilled resident",2,none,yes,bad
<0,24,"all paid","used car",3632,<100,1<=X<4,1,"female div/dep/mar",guarantor,4,car,young,bank,rent,1,skilled,1,none,no,good
0<=X<200,48,"no credits/all paid",business,12204,"no known savings",1<=X<4,2,"male single",none,2,car,old,bank,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,6,"critical/other existing credit","new car",3676,<100,1<=X<4,1,"male single",none,3,"real estate",old,none,rent,3,skilled,2,none,yes,good
"no checking",12,"existing paid","new car",640,<100,1<=X<4,4,"male div/sep",none,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
"no checking",18,"critical/other existing credit","new car",1530,<100,1<=X<4,3,"male single",none,2,"life insurance",old,bank,own,2,skilled,1,none,yes,bad
"no checking",48,"existing paid",business,3914,"no known savings",1<=X<4,4,"male div/sep",none,2,"real estate",old,bank,own,1,skilled,1,none,yes,bad
<0,12,"existing paid",furniture/equipment,1858,<100,<1,4,"female div/dep/mar",none,1,car,young,none,rent,1,skilled,1,none,yes,good
<0,18,"existing paid",radio/tv,2600,<100,1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",2,skilled,1,none,yes,bad
"no checking",15,"existing paid",radio/tv,1979,"no known savings",>=7,4,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
>=200,6,"existing paid",furniture/equipment,2116,<100,1<=X<4,2,"male single",none,2,"real estate",old,none,own,1,skilled,1,yes,yes,good
0<=X<200,9,"all paid","new car",1437,100<=X<500,4<=X<7,2,"male single",none,3,"no known property",old,none,own,1,skilled,1,none,yes,bad
"no checking",42,"critical/other existing credit",furniture/equipment,4042,500<=X<1000,1<=X<4,4,"male single",none,4,"real estate",old,none,own,2,skilled,1,yes,yes,good
0<=X<200,15,"existing paid",radio/tv,1444,"no known savings",<1,4,"male single",none,1,"life insurance",young,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"existing paid","new car",1355,<100,<1,3,"female div/dep/mar",none,4,car,young,none,own,1,"unskilled resident",1,yes,yes,bad
"no checking",12,"existing paid",education,1393,<100,>=7,4,"male single",none,4,"life insurance",old,bank,own,3,skilled,2,yes,yes,good
"no checking",24,"existing paid",radio/tv,1376,500<=X<1000,4<=X<7,4,"female div/dep/mar",none,1,car,old,none,own,1,skilled,1,none,yes,good
"no checking",60,"delayed previously",radio/tv,15653,<100,4<=X<7,2,"male single",none,4,car,young,none,own,2,skilled,1,yes,yes,good
"no checking",12,"existing paid",radio/tv,1493,<100,<1,4,"female div/dep/mar",none,3,car,old,none,own,1,skilled,2,none,yes,good
<0,42,"delayed previously",radio/tv,4370,<100,4<=X<7,3,"male single",none,2,"life insurance",old,bank,own,2,skilled,2,yes,yes,bad
<0,18,"existing paid",education,750,<100,unemployed,4,"female div/dep/mar",none,1,"real estate",old,none,own,1,"unemp/unskilled non res",1,none,yes,bad
0<=X<200,15,"existing paid",repairs,1308,<100,>=7,4,"male single",none,4,car,old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",15,"existing paid",education,4623,100<=X<500,1<=X<4,3,"male single",none,2,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",24,"critical/other existing credit",radio/tv,1851,<100,4<=X<7,4,"male mar/wid",guarantor,2,car,old,none,own,2,skilled,1,yes,yes,good
"no checking",12,"existing paid","new car",1386,500<=X<1000,1<=X<4,2,"female div/dep/mar",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,48,"existing paid",education,7476,<100,4<=X<7,4,"male single",none,1,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,36,"delayed previously","new car",8086,100<=X<500,>=7,2,"male single",none,4,car,old,none,own,4,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",24,"critical/other existing credit","used car",2346,<100,4<=X<7,4,"male single",none,3,car,old,none,own,2,skilled,1,yes,yes,good
<0,14,"existing paid","new car",3973,<100,unemployed,1,"male single",none,4,"no known property",young,none,"for free",1,skilled,1,none,yes,good
"no checking",48,"existing paid",radio/tv,10222,"no known savings",4<=X<7,4,"male single",none,3,car,old,stores,own,1,skilled,1,yes,yes,good
0<=X<200,18,"critical/other existing credit",furniture/equipment,6361,<100,>=7,2,"male single",none,1,"no known property",old,none,own,1,skilled,1,yes,yes,good
<0,12,"existing paid","new car",900,"no known savings",1<=X<4,4,"male mar/wid",none,2,car,young,none,own,1,skilled,1,none,yes,bad
"no checking",21,"existing paid",furniture/equipment,2241,<100,>=7,4,"male single",none,2,"real estate",old,none,own,2,skilled,1,none,yes,good
0<=X<200,6,"delayed previously",furniture/equipment,1050,<100,unemployed,4,"male single",none,1,"life insurance",old,stores,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
>=200,6,"critical/other existing credit",education,1047,<100,1<=X<4,2,"female div/dep/mar",none,4,"life insurance",old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,30,"all paid",furniture/equipment,3496,>=1000,1<=X<4,4,"male single",none,2,car,old,stores,own,1,skilled,2,yes,yes,good
"no checking",48,"all paid",business,3609,<100,1<=X<4,1,"female div/dep/mar",none,1,"real estate",old,stores,own,1,skilled,1,none,yes,good
>=200,30,"critical/other existing credit",radio/tv,3017,<100,>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
"no checking",24,"critical/other existing credit",business,4139,100<=X<500,1<=X<4,3,"male single",none,3,"life insurance",old,none,own,2,"unskilled resident",1,yes,yes,good
"no checking",6,"critical/other existing credit","new car",2080,500<=X<1000,1<=X<4,1,"male mar/wid",none,2,car,young,none,own,1,skilled,1,none,yes,good
"no checking",21,"delayed previously",business,2580,500<=X<1000,<1,4,"male single",none,2,"real estate",old,bank,own,1,"unskilled resident",2,none,yes,bad
"no checking",30,"critical/other existing credit",radio/tv,4530,<100,4<=X<7,4,"female div/dep/mar",none,4,car,old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"critical/other existing credit",furniture/equipment,5150,<100,>=7,4,"male single",none,4,car,old,none,own,1,skilled,1,yes,yes,good
0<=X<200,72,"existing paid",radio/tv,5595,100<=X<500,1<=X<4,2,"male mar/wid",none,2,car,young,none,own,1,skilled,1,none,yes,bad
<0,24,"existing paid",radio/tv,2384,<100,>=7,4,"male single",none,4,"real estate",old,bank,rent,1,"unskilled resident",1,none,yes,good
"no checking",18,"existing paid",radio/tv,1453,<100,<1,3,"female div/dep/mar",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",6,"existing paid",education,1538,<100,<1,1,"female div/dep/mar",none,2,"no known property",old,none,own,1,skilled,1,none,yes,good
"no checking",12,"existing paid",radio/tv,2279,"no known savings",1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
"no checking",15,"delayed previously",radio/tv,1478,<100,1<=X<4,4,"male mar/wid",none,3,"real estate",old,bank,own,2,skilled,1,none,yes,good
"no checking",24,"critical/other existing credit",radio/tv,5103,<100,<1,3,"male mar/wid",none,3,"no known property",old,none,"for free",3,skilled,1,yes,yes,good
0<=X<200,36,"delayed previously",business,9857,100<=X<500,4<=X<7,1,"male single",none,3,"life insurance",old,none,own,2,"unskilled resident",2,yes,yes,good
"no checking",60,"existing paid","new car",6527,"no known savings",1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,yes,yes,good
>=200,10,"critical/other existing credit",radio/tv,1347,"no known savings",4<=X<7,4,"male single",none,2,"life insurance",old,none,own,2,skilled,1,yes,yes,good
<0,12,"existing paid","new car",3651,>=1000,1<=X<4,1,"male single",none,3,"life insurance",old,none,own,1,skilled,2,none,yes,good
<0,15,"critical/other existing credit",furniture/equipment,975,<100,1<=X<4,2,"male div/sep",none,3,"life insurance",young,none,own,2,skilled,1,none,yes,good
0<=X<200,24,"existing paid",radio/tv,2896,100<=X<500,<1,2,"male single",none,1,car,old,none,own,1,skilled,1,none,yes,good
<0,6,"critical/other existing credit","new car",4716,"no known savings",<1,1,"male single",none,3,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
"no checking",6,"existing paid","used car",1236,500<=X<1000,1<=X<4,2,"male single",none,4,"life insurance",old,none,rent,1,skilled,1,none,yes,good
"no checking",12,"critical/other existing credit","new car",926,<100,unemployed,1,"female div/dep/mar",none,2,"life insurance",old,none,own,1,"unemp/unskilled non res",1,none,yes,good
>=200,15,"existing paid",education,1905,<100,>=7,4,"male single",none,4,car,old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",12,"existing paid",furniture/equipment,1123,500<=X<1000,1<=X<4,4,"female div/dep/mar",none,4,car,old,none,rent,1,"unskilled resident",1,none,yes,bad
>=200,24,"existing paid",radio/tv,1377,100<=X<500,>=7,4,"female div/dep/mar",none,2,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
0<=X<200,48,"existing paid","new car",6560,100<=X<500,4<=X<7,3,"male single",none,2,"life insurance",young,none,own,1,skilled,1,none,yes,bad
0<=X<200,9,"existing paid",radio/tv,1206,<100,>=7,4,"female div/dep/mar",none,4,"real estate",young,none,own,1,skilled,1,none,yes,good
0<=X<200,9,"existing paid",radio/tv,2118,<100,1<=X<4,2,"male single",none,2,"real estate",old,none,own,1,"unskilled resident",2,none,yes,good
"no checking",18,"critical/other existing credit",radio/tv,629,500<=X<1000,>=7,4,"male single",none,3,"life insurance",old,bank,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
<0,6,"all paid",education,1198,<100,>=7,4,"female div/dep/mar",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,bad
"no checking",21,"existing paid","used car",2476,"no known savings",>=7,4,"male single",none,4,"real estate",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,60,"existing paid","new car",14027,<100,4<=X<7,4,"male single",none,2,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",30,"critical/other existing credit","used car",7596,"no known savings",>=7,1,"male single",none,4,car,old,none,own,2,skilled,1,none,yes,good
"no checking",30,"critical/other existing credit",radio/tv,3077,"no known savings",>=7,3,"male single",none,2,car,old,none,own,2,skilled,2,yes,yes,good
"no checking",18,"existing paid",radio/tv,1505,<100,1<=X<4,4,"male single",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
>=200,24,"critical/other existing credit",radio/tv,3148,"no known savings",1<=X<4,3,"male single",none,2,car,old,none,own,2,skilled,1,yes,yes,good
0<=X<200,20,"no credits/all paid","used car",6148,100<=X<500,>=7,3,"male mar/wid",none,4,car,old,bank,own,2,skilled,1,yes,yes,good
>=200,9,"no credits/all paid",radio/tv,1337,<100,<1,4,"male single",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
0<=X<200,6,"all paid",education,433,>=1000,<1,4,"female div/dep/mar",none,2,"life insurance",young,bank,rent,1,skilled,2,none,yes,bad
<0,12,"existing paid","new car",1228,<100,1<=X<4,4,"female div/dep/mar",none,2,"real estate",young,none,own,1,"unskilled resident",1,none,yes,bad
0<=X<200,9,"existing paid",radio/tv,790,500<=X<1000,1<=X<4,4,"female div/dep/mar",none,3,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
"no checking",27,"existing paid","new car",2570,<100,1<=X<4,3,"female div/dep/mar",none,3,"real estate",young,none,rent,1,skilled,1,none,yes,bad
"no checking",6,"critical/other existing credit","new car",250,>=1000,1<=X<4,2,"female div/dep/mar",none,2,"real estate",old,bank,own,2,"unskilled resident",1,none,yes,good
"no checking",15,"critical/other existing credit",radio/tv,1316,500<=X<1000,1<=X<4,2,"male mar/wid",none,2,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
<0,18,"existing paid",radio/tv,1882,<100,1<=X<4,4,"female div/dep/mar",none,4,car,young,bank,rent,2,skilled,1,none,yes,bad
>=200,24,"critical/other existing credit",business,1275,>=1000,1<=X<4,2,"male div/sep",none,4,"real estate",old,none,own,2,skilled,1,yes,yes,good
<0,24,"existing paid",radio/tv,1987,<100,1<=X<4,2,"male single",none,4,"real estate",young,none,rent,1,"unskilled resident",2,none,yes,bad
"no checking",24,"existing paid","used car",2603,>=1000,1<=X<4,2,"female div/dep/mar",none,4,car,old,none,rent,1,skilled,1,yes,yes,good
"no checking",4,"critical/other existing credit","new car",3380,<100,4<=X<7,1,"female div/dep/mar",none,1,"real estate",old,none,own,1,skilled,2,none,yes,good
0<=X<200,36,"all paid","domestic appliance",3990,"no known savings",<1,3,"female div/dep/mar",none,2,"no known property",old,bank,own,1,"unemp/unskilled non res",1,none,yes,good
<0,18,"existing paid","new car",4380,100<=X<500,1<=X<4,3,"male single",none,4,car,old,none,own,1,"unskilled resident",2,yes,yes,good
"no checking",6,"critical/other existing credit","new car",6761,<100,4<=X<7,1,"male single",none,3,"no known property",old,none,own,2,"high qualif/self emp/mgmt",2,yes,yes,good
0<=X<200,30,"no credits/all paid",business,4280,100<=X<500,1<=X<4,4,"female div/dep/mar",none,4,car,old,none,rent,2,"unskilled resident",1,none,yes,bad
0<=X<200,10,"all paid",radio/tv,1048,<100,1<=X<4,4,"male single",none,4,"real estate",young,stores,own,1,"unskilled resident",1,none,yes,good
"no checking",21,"existing paid",radio/tv,3160,"no known savings",>=7,4,"male single",none,3,"life insurance",old,none,own,1,skilled,1,yes,yes,good
<0,39,"critical/other existing credit",furniture/equipment,14179,"no known savings",4<=X<7,4,"male single",none,4,"life insurance",old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
<0,13,"critical/other existing credit",business,1797,<100,<1,3,"male single",none,1,"life insurance",old,bank,own,2,"unskilled resident",1,none,yes,good
"no checking",21,"existing paid","used car",5248,"no known savings",1<=X<4,1,"male single",none,3,car,old,none,own,1,skilled,1,none,yes,good
<0,6,"existing paid",furniture/equipment,428,<100,>=7,2,"female div/dep/mar",none,1,"life insurance",old,bank,own,1,skilled,1,yes,yes,good
<0,18,"existing paid","new car",976,<100,<1,1,"female div/dep/mar",none,2,car,young,none,own,1,"unskilled resident",1,none,yes,bad
"no checking",30,"critical/other existing credit",radio/tv,5771,<100,4<=X<7,4,"female div/dep/mar",none,2,car,young,none,own,2,skilled,1,none,yes,good
"no checking",12,"delayed previously",repairs,1555,>=1000,>=7,4,"male single",none,4,"no known property",old,none,"for free",2,skilled,2,none,yes,bad
<0,24,"existing paid","new car",1285,"no known savings",4<=X<7,4,"female div/dep/mar",none,4,"no known property",old,none,rent,1,skilled,1,none,yes,bad
>=200,6,"critical/other existing credit","new car",1299,<100,1<=X<4,1,"male single",none,1,"real estate",old,none,own,3,"unemp/unskilled non res",2,none,no,good
>=200,15,"critical/other existing credit",radio/tv,1271,"no known savings",1<=X<4,3,"male single",none,4,"no known property",old,none,"for free",2,skilled,1,yes,yes,bad
"no checking",21,"critical/other existing credit","new car",12680,"no known savings",>=7,4,"male single",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",24,"critical/other existing credit","new car",2463,100<=X<500,4<=X<7,4,"male mar/wid",none,3,"life insurance",old,none,own,2,skilled,1,yes,yes,good
"no checking",10,"existing paid","used car",2901,"no known savings",<1,1,"female div/dep/mar",none,4,"real estate",old,none,rent,1,skilled,1,none,yes,good
0<=X<200,12,"critical/other existing credit",furniture/equipment,3617,<100,>=7,1,"male single",none,4,car,old,none,rent,3,skilled,1,yes,yes,good
"no checking",12,"critical/other existing credit",radio/tv,1655,<100,>=7,2,"male single",none,4,"real estate",old,none,own,2,"unskilled resident",1,yes,yes,good
<0,24,"existing paid","used car",2812,"no known savings",>=7,2,"female div/dep/mar",none,4,"real estate",old,none,rent,1,skilled,1,none,yes,good
<0,36,"critical/other existing credit",education,8065,<100,1<=X<4,3,"female div/dep/mar",none,2,"no known property",young,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",21,"critical/other existing credit","used car",3275,<100,>=7,1,"male single",none,4,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"critical/other existing credit",radio/tv,2223,100<=X<500,>=7,4,"male single",none,4,"life insurance",old,bank,own,2,skilled,1,none,yes,good
<0,24,"existing paid","new car",1371,"no known savings",1<=X<4,4,"female div/dep/mar",none,4,"real estate",young,none,rent,1,skilled,1,none,yes,bad
"no checking",36,"critical/other existing credit","new car",3535,<100,4<=X<7,4,"male single",none,4,car,old,none,own,2,skilled,1,yes,yes,good
<0,18,"existing paid",radio/tv,3509,<100,4<=X<7,4,"female div/dep/mar",guarantor,1,"real estate",young,none,own,1,skilled,1,none,yes,good
0<=X<200,39,"critical/other existing credit",radio/tv,4933,<100,4<=X<7,2,"male single",guarantor,2,"real estate",young,none,own,2,skilled,1,none,yes,bad
"no checking",24,"critical/other existing credit","new car",1940,>=1000,>=7,4,"male single",none,4,"real estate",old,none,own,1,skilled,1,yes,yes,good
0<=X<200,12,"no credits/all paid",retraining,1410,<100,1<=X<4,2,"male single",none,2,"real estate",old,none,own,1,"unskilled resident",1,yes,yes,good
0<=X<200,12,"existing paid","new car",836,100<=X<500,<1,4,"female div/dep/mar",none,2,"life insurance",young,bank,own,1,"unskilled resident",1,none,yes,bad
0<=X<200,20,"existing paid","used car",6468,"no known savings",unemployed,1,"male div/sep",none,4,"real estate",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,18,"existing paid",business,1941,>=1000,1<=X<4,4,"male single",none,2,"life insurance",old,none,own,1,"unskilled resident",1,yes,yes,good
"no checking",22,"existing paid",radio/tv,2675,500<=X<1000,>=7,3,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,good
"no checking",48,"critical/other existing credit","used car",2751,"no known savings",>=7,4,"male single",none,3,car,old,none,own,2,skilled,2,yes,yes,good
0<=X<200,21,"existing paid",business,1188,<100,>=7,2,"female div/dep/mar",none,4,"life insurance",old,none,own,1,skilled,2,none,yes,bad
"no checking",24,"existing paid","used car",6313,"no known savings",>=7,3,"male single",none,4,car,old,none,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",6,"critical/other existing credit",furniture/equipment,1221,"no known savings",1<=X<4,1,"male mar/wid",none,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",9,"existing paid",furniture/equipment,2301,100<=X<500,<1,2,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
<0,18,"existing paid","used car",7511,"no known savings",>=7,1,"male single",none,4,"life insurance",old,none,"for free",1,skilled,2,yes,yes,bad
0<=X<200,9,"existing paid","new car",1549,"no known savings",<1,4,"male single",none,2,"real estate",old,none,own,1,"unemp/unskilled non res",1,none,yes,good
"no checking",24,"critical/other existing credit",education,1597,<100,>=7,4,"male single",none,4,"no known property",old,none,"for free",2,skilled,2,none,yes,good
0<=X<200,18,"critical/other existing credit",radio/tv,1795,<100,>=7,3,"female div/dep/mar",guarantor,4,"real estate",old,bank,rent,2,"unskilled resident",1,yes,yes,good
"no checking",12,"critical/other existing credit",radio/tv,976,"no known savings",>=7,4,"male single",none,4,car,old,none,own,2,skilled,1,none,yes,good
<0,36,"existing paid","new car",9271,<100,4<=X<7,2,"male single",none,1,car,young,none,own,1,skilled,1,yes,yes,bad
"no checking",12,"critical/other existing credit",radio/tv,930,"no known savings",>=7,4,"male single",none,4,"real estate",old,none,own,4,skilled,1,none,yes,good
0<=X<200,15,"no credits/all paid","new car",1778,<100,<1,2,"female div/dep/mar",none,1,"real estate",old,none,rent,2,"unemp/unskilled non res",1,none,yes,bad
0<=X<200,8,"existing paid",business,907,<100,<1,3,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,yes,yes,good
0<=X<200,6,"existing paid",radio/tv,484,<100,4<=X<7,3,"male mar/wid",guarantor,3,"real estate",old,bank,own,1,"unskilled resident",1,none,yes,good
<0,36,"critical/other existing credit","used car",9629,<100,4<=X<7,4,"male single",none,4,car,young,none,own,2,skilled,1,yes,yes,bad
<0,48,"existing paid","domestic appliance",3051,<100,1<=X<4,3,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,bad
<0,48,"existing paid","new car",3931,<100,4<=X<7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,none,yes,bad
"no checking",6,"existing paid","domestic appliance",1338,500<=X<1000,1<=X<4,1,"male div/sep",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
"no checking",6,"critical/other existing credit",radio/tv,1554,<100,4<=X<7,1,"female div/dep/mar",none,2,car,young,none,rent,2,skilled,1,yes,yes,good
<0,36,"existing paid",other,15857,<100,unemployed,2,"male div/sep","co applicant",3,car,old,none,own,1,"high qualif/self emp/mgmt",1,none,yes,good
<0,18,"existing paid",radio/tv,1345,<100,1<=X<4,4,"male mar/wid",none,3,"real estate",old,bank,own,1,skilled,1,none,yes,bad
>=200,12,"existing paid",radio/tv,3016,<100,1<=X<4,3,"male mar/wid",none,1,car,young,none,own,1,skilled,1,none,yes,good
<0,36,"existing paid",furniture/equipment,2712,<100,>=7,2,"male single",none,2,"life insurance",old,bank,own,1,skilled,2,none,yes,bad
"no checking",18,"critical/other existing credit",furniture/equipment,3780,<100,<1,3,"male div/sep",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
